instruction,input,output,new_output
"China's voyage has become an international professional aerospace fair of physical displays, trade talks, academic exchanges, and what else?","In addition, during the exhibition, China’s renowned aerospace companies will sign aircraft purchase agreements with the countries of Europe and the United States, and China’s autonomously developed civil aircraft will enter the market for the first time. Since 1996, China’s voyage has been held every two years, and has now become an international professional aerospace fair of physical displays, trade talks, academic exchanges, and flight performances.",China’s renowned aerospace companies,flight performances
Who was selected as the preferred supplier of the next generation of the British Army and Marine Corps' electronic battle system?,"A team led by Lockheed Martin was selected by the British Department of Defense as the preferred supplier of the next generation of the British Army and Marine Corps' electronic battle system - the Podler program. Lo Ma was the final recipient of the Pod project after a three-year phase of competition evaluation, which defeated competition from a team led by the Telises Communications Company.",Lo Ma,Lockheed Martin
Who was the final recipient of the Pod project after a three-year phase of competition evaluation?,"A team led by Lockheed Martin was selected by the British Department of Defense as the preferred supplier of the next generation of the British Army and Marine Corps' electronic battle system - the Podler program. Lo Ma was the final recipient of the Pod project after a three-year phase of competition evaluation, which defeated competition from a team led by the Telises Communications Company.",Lo Ma,Lo Ma
When did the NATO Allied Operations Command in Trident 2018 open?,"Original title: The largest military performance of the year — the NATO Allied Operations Command in Trident 2018, which opened on 25 October local time, was opened in Norway by the NATO Trident 2018 multinational army, with 50,000 troops, 10,000 armoured vehicles and over 250 aircraft from 31 countries, as well as 65 ships of all types, including a carrier striker and an amphibious deliverer, which will continue until 7 November, primarily to test the ability of the Allied Coalition Forces to operate under cold terrain and high latitudes. However, on 18 October, a NH-90 helicopter from the north-west wind class of the French Navy, sailing to Norway, landed on the deck, injuring four people. On 23 November, the United States Navy ' s Heydbé shipyard from Iceland to Norway was hit by a large wave that caused injury to the upper surface structure of one ship, and the two vessels suspended their schedule of participation.",25 October,25 October
How many troops did the NATO Allied Operations Command in Trident 2018 have?,"Original title: The largest military performance of the year — the NATO Allied Operations Command in Trident 2018, which opened on 25 October local time, was opened in Norway by the NATO Trident 2018 multinational army, with 50,000 troops, 10,000 armoured vehicles and over 250 aircraft from 31 countries, as well as 65 ships of all types, including a carrier striker and an amphibious deliverer, which will continue until 7 November, primarily to test the ability of the Allied Coalition Forces to operate under cold terrain and high latitudes. However, on 18 October, a NH-90 helicopter from the north-west wind class of the French Navy, sailing to Norway, landed on the deck, injuring four people. On 23 November, the United States Navy ' s Heydbé shipyard from Iceland to Norway was hit by a large wave that caused injury to the upper surface structure of one ship, and the two vessels suspended their schedule of participation.",25 October,"50,000"
How many aircraft did the NATO Allied Operations Command in Trident 2018 have?,"Original title: The largest military performance of the year — the NATO Allied Operations Command in Trident 2018, which opened on 25 October local time, was opened in Norway by the NATO Trident 2018 multinational army, with 50,000 troops, 10,000 armoured vehicles and over 250 aircraft from 31 countries, as well as 65 ships of all types, including a carrier striker and an amphibious deliverer, which will continue until 7 November, primarily to test the ability of the Allied Coalition Forces to operate under cold terrain and high latitudes. However, on 18 October, a NH-90 helicopter from the north-west wind class of the French Navy, sailing to Norway, landed on the deck, injuring four people. On 23 November, the United States Navy ' s Heydbé shipyard from Iceland to Norway was hit by a large wave that caused injury to the upper surface structure of one ship, and the two vessels suspended their schedule of participation.",25 October,over 250
How many ships did the NATO Allied Operations Command in Trident 2018 have?,"Original title: The largest military performance of the year — the NATO Allied Operations Command in Trident 2018, which opened on 25 October local time, was opened in Norway by the NATO Trident 2018 multinational army, with 50,000 troops, 10,000 armoured vehicles and over 250 aircraft from 31 countries, as well as 65 ships of all types, including a carrier striker and an amphibious deliverer, which will continue until 7 November, primarily to test the ability of the Allied Coalition Forces to operate under cold terrain and high latitudes. However, on 18 October, a NH-90 helicopter from the north-west wind class of the French Navy, sailing to Norway, landed on the deck, injuring four people. On 23 November, the United States Navy ' s Heydbé shipyard from Iceland to Norway was hit by a large wave that caused injury to the upper surface structure of one ship, and the two vessels suspended their schedule of participation.",25 October,65
How many people were injured when a helicopter landed on the deck of the NATO Allied Operations Command in Trident 2018?,"Original title: The largest military performance of the year — the NATO Allied Operations Command in Trident 2018, which opened on 25 October local time, was opened in Norway by the NATO Trident 2018 multinational army, with 50,000 troops, 10,000 armoured vehicles and over 250 aircraft from 31 countries, as well as 65 ships of all types, including a carrier striker and an amphibious deliverer, which will continue until 7 November, primarily to test the ability of the Allied Coalition Forces to operate under cold terrain and high latitudes. However, on 18 October, a NH-90 helicopter from the north-west wind class of the French Navy, sailing to Norway, landed on the deck, injuring four people. On 23 November, the United States Navy ' s Heydbé shipyard from Iceland to Norway was hit by a large wave that caused injury to the upper surface structure of one ship, and the two vessels suspended their schedule of participation.",25 October,four
What is the name of the high-precision all-weather radar developed for the American Air Force Agility Top Project?,"Metawave developed a high-precision all-weather radar for the American Air Force Agility Top Project, Metawavemm Wave Radar, located in Palooto, California, under a contract with the United States Air Force to develop high-precision all-weather radars for the electric vertical landing aircraft developed for the project. Metawave’s current SPEKTRA radar is one of the most accurate and intelligent simulation beams on vehicles that can clearly detect vehicles outside 300 metres and pedestrians beyond 200 metres at a higher angle resolution. Metawave plans to work with the Arizona State University Wireless Information System and the Computing Architecture Centre to improve the SPEKTRA simulation beam turnover radar to safeguard the navigation requirements of the United States Air Force’s eVTOL aircraft.",Metawavemm Wave Radar,Metawavemm Wave Radar
How long is the X-45C?,"Prior to this, Boeing manufactured two X-45A drones, which are currently being tested at the Edwards Air Force Base in the United States. X-45C, which is 39 feet long, has 49 feet long and cruises 0.8 mach. It can carry eight small-calibre bombs: Boeing’s latest near-precision 250 pounds of weapons or a series of direct Boeing attack munitions. The unmanned aerial warfare system X-45 is a pre-research programme/United States Air Force/United States Navy/Poeonic Company working with the United States Air Force and the Navy to verify the tactical feasibility, military utility and operational value of unmanned aerial warfare systems.",39 feet long,39 feet long
How many small-calibre bombs can the X-45C carry?,"Prior to this, Boeing manufactured two X-45A drones, which are currently being tested at the Edwards Air Force Base in the United States. X-45C, which is 39 feet long, has 49 feet long and cruises 0.8 mach. It can carry eight small-calibre bombs: Boeing’s latest near-precision 250 pounds of weapons or a series of direct Boeing attack munitions. The unmanned aerial warfare system X-45 is a pre-research programme/United States Air Force/United States Navy/Poeonic Company working with the United States Air Force and the Navy to verify the tactical feasibility, military utility and operational value of unmanned aerial warfare systems.",39 feet long,eight
How many AN/FPS-117 remote-to-air surveillance radars were purchased by the German Air Force in 1988?,"[United States Daily Defense Report, 23 August 2006] & nbsp; Lockheed Martin has completed improvements in computer software and hardware for eight AN/FPS-117 remote-to-air surveillance radars of the German Air Force, purchased in 1988 by the defence technology and procurement department of the German Federal Government. Since the early 1990s, Germany has been provided with aerial surveillance capabilities.",eight,eight
What has Germany been provided with since the early 1990s?,"[United States Daily Defense Report, 23 August 2006] & nbsp; Lockheed Martin has completed improvements in computer software and hardware for eight AN/FPS-117 remote-to-air surveillance radars of the German Air Force, purchased in 1988 by the defence technology and procurement department of the German Federal Government. Since the early 1990s, Germany has been provided with aerial surveillance capabilities.",eight,aerial surveillance capabilities
How many AN/FPS-117 remote-to-air surveillance radars were purchased by the defence technology and procurement department of the German Federal Government in 1988?,"[United States Daily Defense Report, 23 August 2006] & nbsp; Lockheed Martin has completed improvements in computer software and hardware for eight AN/FPS-117 remote-to-air surveillance radars of the German Air Force, purchased in 1988 by the defence technology and procurement department of the German Federal Government. Since the early 1990s, Germany has been provided with aerial surveillance capabilities.",eight,eight
What company has Offshore Systems International signed a memorandum of understanding with?,"According to the British Defence System Journal, 20 March: Offshore Systems International has signed a memorandum of understanding with the Danish Command and Control System company, Telma A/S. Under the agreement, the two companies will jointly develop new electronic chart system products with command and control features that meet the specialized needs of the Royal Danish Navy. Details of the new products include functions and prices not disclosed by the two companies. ... The Managing Director of Offshore Systems and the CEO said that offshore systems companies could expand the use of their company ' s electronic chart technology in naval command and control through ongoing trade links with the major NATO naval forces. ECPINS-M is an electronic chart navigation product for the offshore system for military and government fleets that is compatible with a wide variety of official charts and specialized data types and has many key functions to support warships in fighting in a complex environment.",Telma A/S,Telma A/S
What is the name of the Danish Command and Control System company?,"According to the British Defence System Journal, 20 March: Offshore Systems International has signed a memorandum of understanding with the Danish Command and Control System company, Telma A/S. Under the agreement, the two companies will jointly develop new electronic chart system products with command and control features that meet the specialized needs of the Royal Danish Navy. Details of the new products include functions and prices not disclosed by the two companies. ... The Managing Director of Offshore Systems and the CEO said that offshore systems companies could expand the use of their company ' s electronic chart technology in naval command and control through ongoing trade links with the major NATO naval forces. ECPINS-M is an electronic chart navigation product for the offshore system for military and government fleets that is compatible with a wide variety of official charts and specialized data types and has many key functions to support warships in fighting in a complex environment.",Telma A/S,Telma A/S
What is the name of the electronic chart navigation product for the offshore system for military and government fleets that is compatible with a wide variety of official charts and specialized data types?,"According to the British Defence System Journal, 20 March: Offshore Systems International has signed a memorandum of understanding with the Danish Command and Control System company, Telma A/S. Under the agreement, the two companies will jointly develop new electronic chart system products with command and control features that meet the specialized needs of the Royal Danish Navy. Details of the new products include functions and prices not disclosed by the two companies. ... The Managing Director of Offshore Systems and the CEO said that offshore systems companies could expand the use of their company ' s electronic chart technology in naval command and control through ongoing trade links with the major NATO naval forces. ECPINS-M is an electronic chart navigation product for the offshore system for military and government fleets that is compatible with a wide variety of official charts and specialized data types and has many key functions to support warships in fighting in a complex environment.",Telma A/S,ECPINS-M
What is the name of the electronic chart navigation product for the military and government fleets that is compatible with a wide variety of official charts and specialized data types?,"According to the British Defence System Journal, 20 March: Offshore Systems International has signed a memorandum of understanding with the Danish Command and Control System company, Telma A/S. Under the agreement, the two companies will jointly develop new electronic chart system products with command and control features that meet the specialized needs of the Royal Danish Navy. Details of the new products include functions and prices not disclosed by the two companies. ... The Managing Director of Offshore Systems and the CEO said that offshore systems companies could expand the use of their company ' s electronic chart technology in naval command and control through ongoing trade links with the major NATO naval forces. ECPINS-M is an electronic chart navigation product for the offshore system for military and government fleets that is compatible with a wide variety of official charts and specialized data types and has many key functions to support warships in fighting in a complex environment.",Telma A/S,ECPINS-M
When did a Russian Air Force Su-24 front bomber crash?,"A Russian Air Force Su-24 front bomber crashed early on 20 October at 6 a.m. In order to refuel, the aircraft ran out of the runway and set fire to the fire, two pilots were killed. The Russian Ministry of Defence promised to inspect all the Su-24 aircraft throughout Russia and announced that the cause of the crash would be investigated by a special working group, but the decision to suspend the aircraft was not made for the time being.",20 October,20 October at 6 a.m
How many pilots were killed in the crash?,"A Russian Air Force Su-24 front bomber crashed early on 20 October at 6 a.m. In order to refuel, the aircraft ran out of the runway and set fire to the fire, two pilots were killed. The Russian Ministry of Defence promised to inspect all the Su-24 aircraft throughout Russia and announced that the cause of the crash would be investigated by a special working group, but the decision to suspend the aircraft was not made for the time being.",20 October,two
Who promised to inspect all the Su-24 aircraft throughout Russia?,"A Russian Air Force Su-24 front bomber crashed early on 20 October at 6 a.m. In order to refuel, the aircraft ran out of the runway and set fire to the fire, two pilots were killed. The Russian Ministry of Defence promised to inspect all the Su-24 aircraft throughout Russia and announced that the cause of the crash would be investigated by a special working group, but the decision to suspend the aircraft was not made for the time being.",20 October,The Russian Ministry of Defence
When was the North Devonsk built?,"According to the Sevmash Shipyard, the first Russian-grade nuclear-powered attack submarine, the North Devonsk, was built in 1993 by the Sevmash Shipyard, but for financial reasons it did not go into water until last June, and is scheduled to serve at the end of this year. The Glande class nuclear-powered submarine can launch various cruise missiles with conventional or nuclear warheads with a range of 3,100 miles.",1993,1993
When did the North Devonsk go into water?,"According to the Sevmash Shipyard, the first Russian-grade nuclear-powered attack submarine, the North Devonsk, was built in 1993 by the Sevmash Shipyard, but for financial reasons it did not go into water until last June, and is scheduled to serve at the end of this year. The Glande class nuclear-powered submarine can launch various cruise missiles with conventional or nuclear warheads with a range of 3,100 miles.",1993,last June
What is the range of the Glande class nuclear-powered submarine?,"According to the Sevmash Shipyard, the first Russian-grade nuclear-powered attack submarine, the North Devonsk, was built in 1993 by the Sevmash Shipyard, but for financial reasons it did not go into water until last June, and is scheduled to serve at the end of this year. The Glande class nuclear-powered submarine can launch various cruise missiles with conventional or nuclear warheads with a range of 3,100 miles.",1993,"3,100 miles"
When was the first E-99 improved early warning machine of the Brazilian Aviation Industry Company expected to be introduced?,"As reported on July 31, 2020, the British Spud Media website reported that the Brazilian Air Force was expected to introduce in November 2020 the first E-99 improved early warning machine of the Brazilian Aviation Industry Company to enhance its air early warning capability. Currently, two E-99 early warning machines are being upgraded to E-99M, one of which has conducted its first certified test flight in August 2019. The main sensor of the E-99M early warning machine is using the E-Saber E-E-E-E-R-R-Ray radar for the Global Eye Alert Machine, which Saber has improved to meet the specific operational requirements of the Brazilian Air Force. The company has indicated that the improved radar has a more comprehensive detection capability to detect multiple targets, such as large ships, aircraft-to-ships, rubber-coated craft and suspended helicopters, increasing the detection distance to about 680 km. The E-99M early warning machine is also equipped with software to define radio units, the new TSC 2030 I recognize counters, the communications intelligence components provided by Elbit Systems Israel.",Global Eye Alert Machine,November 2020
How many E-99 early warning machines are being upgraded to E-99M?,"As reported on July 31, 2020, the British Spud Media website reported that the Brazilian Air Force was expected to introduce in November 2020 the first E-99 improved early warning machine of the Brazilian Aviation Industry Company to enhance its air early warning capability. Currently, two E-99 early warning machines are being upgraded to E-99M, one of which has conducted its first certified test flight in August 2019. The main sensor of the E-99M early warning machine is using the E-Saber E-E-E-E-R-R-Ray radar for the Global Eye Alert Machine, which Saber has improved to meet the specific operational requirements of the Brazilian Air Force. The company has indicated that the improved radar has a more comprehensive detection capability to detect multiple targets, such as large ships, aircraft-to-ships, rubber-coated craft and suspended helicopters, increasing the detection distance to about 680 km. The E-99M early warning machine is also equipped with software to define radio units, the new TSC 2030 I recognize counters, the communications intelligence components provided by Elbit Systems Israel.",Global Eye Alert Machine,two
What is the main sensor of the E-99M early warning machine using?,"As reported on July 31, 2020, the British Spud Media website reported that the Brazilian Air Force was expected to introduce in November 2020 the first E-99 improved early warning machine of the Brazilian Aviation Industry Company to enhance its air early warning capability. Currently, two E-99 early warning machines are being upgraded to E-99M, one of which has conducted its first certified test flight in August 2019. The main sensor of the E-99M early warning machine is using the E-Saber E-E-E-E-R-R-Ray radar for the Global Eye Alert Machine, which Saber has improved to meet the specific operational requirements of the Brazilian Air Force. The company has indicated that the improved radar has a more comprehensive detection capability to detect multiple targets, such as large ships, aircraft-to-ships, rubber-coated craft and suspended helicopters, increasing the detection distance to about 680 km. The E-99M early warning machine is also equipped with software to define radio units, the new TSC 2030 I recognize counters, the communications intelligence components provided by Elbit Systems Israel.",Global Eye Alert Machine,E-Saber E-E-E-E-R-R-Ray radar
What has Saber improved to meet the specific operational requirements of the Brazilian Air Force?,"As reported on July 31, 2020, the British Spud Media website reported that the Brazilian Air Force was expected to introduce in November 2020 the first E-99 improved early warning machine of the Brazilian Aviation Industry Company to enhance its air early warning capability. Currently, two E-99 early warning machines are being upgraded to E-99M, one of which has conducted its first certified test flight in August 2019. The main sensor of the E-99M early warning machine is using the E-Saber E-E-E-E-R-R-Ray radar for the Global Eye Alert Machine, which Saber has improved to meet the specific operational requirements of the Brazilian Air Force. The company has indicated that the improved radar has a more comprehensive detection capability to detect multiple targets, such as large ships, aircraft-to-ships, rubber-coated craft and suspended helicopters, increasing the detection distance to about 680 km. The E-99M early warning machine is also equipped with software to define radio units, the new TSC 2030 I recognize counters, the communications intelligence components provided by Elbit Systems Israel.",Global Eye Alert Machine,Global Eye Alert Machine
What does the E-99M early warning machine have software to define?,"As reported on July 31, 2020, the British Spud Media website reported that the Brazilian Air Force was expected to introduce in November 2020 the first E-99 improved early warning machine of the Brazilian Aviation Industry Company to enhance its air early warning capability. Currently, two E-99 early warning machines are being upgraded to E-99M, one of which has conducted its first certified test flight in August 2019. The main sensor of the E-99M early warning machine is using the E-Saber E-E-E-E-R-R-Ray radar for the Global Eye Alert Machine, which Saber has improved to meet the specific operational requirements of the Brazilian Air Force. The company has indicated that the improved radar has a more comprehensive detection capability to detect multiple targets, such as large ships, aircraft-to-ships, rubber-coated craft and suspended helicopters, increasing the detection distance to about 680 km. The E-99M early warning machine is also equipped with software to define radio units, the new TSC 2030 I recognize counters, the communications intelligence components provided by Elbit Systems Israel.",Global Eye Alert Machine,radio units
How much did BAE Systems contract with the US Army Tank Vehicle and Arms Command cost?,"BAE Systems signed a $42 million contract with the United States Army Tank Vehicle and Arms Command to provide 5325 vehicle emergency escape window components. The order will be carried out at BAE Systems, a collaboration plant in Minneapolis, Minnesota, and Butler, Pennsylvania. The VEE window component will ensure soldiers ' rapid escape from vehicles in emergency situations, e.g., by pushing a window over a vehicle or accident. The order includes 17,000 VEE units, more than 10,000 of which are already equipped with armoured boosters M1114 and M1151 Hummer vehicles. The VEE window technology is suitable for many tactical armoured boosters, including mine-resistant anti-voltage vehicles, medium-sized tactical vehicles or naval medium tactical replacements. The module has no operational parts, requires small maintenance, low life cycle costs, simple design, soldiers need no specialized training, and can be installed in theatre by trained soldiers and naval maintenance personnel.",$42 million,$42 million
How many vehicle emergency escape window components did BAE Systems contract with the US Army Tank Vehicle and Arms Command?,"BAE Systems signed a $42 million contract with the United States Army Tank Vehicle and Arms Command to provide 5325 vehicle emergency escape window components. The order will be carried out at BAE Systems, a collaboration plant in Minneapolis, Minnesota, and Butler, Pennsylvania. The VEE window component will ensure soldiers ' rapid escape from vehicles in emergency situations, e.g., by pushing a window over a vehicle or accident. The order includes 17,000 VEE units, more than 10,000 of which are already equipped with armoured boosters M1114 and M1151 Hummer vehicles. The VEE window technology is suitable for many tactical armoured boosters, including mine-resistant anti-voltage vehicles, medium-sized tactical vehicles or naval medium tactical replacements. The module has no operational parts, requires small maintenance, low life cycle costs, simple design, soldiers need no specialized training, and can be installed in theatre by trained soldiers and naval maintenance personnel.",$42 million,5325
How many VEE units did BAE Systems order?,"BAE Systems signed a $42 million contract with the United States Army Tank Vehicle and Arms Command to provide 5325 vehicle emergency escape window components. The order will be carried out at BAE Systems, a collaboration plant in Minneapolis, Minnesota, and Butler, Pennsylvania. The VEE window component will ensure soldiers ' rapid escape from vehicles in emergency situations, e.g., by pushing a window over a vehicle or accident. The order includes 17,000 VEE units, more than 10,000 of which are already equipped with armoured boosters M1114 and M1151 Hummer vehicles. The VEE window technology is suitable for many tactical armoured boosters, including mine-resistant anti-voltage vehicles, medium-sized tactical vehicles or naval medium tactical replacements. The module has no operational parts, requires small maintenance, low life cycle costs, simple design, soldiers need no specialized training, and can be installed in theatre by trained soldiers and naval maintenance personnel.",$42 million,"17,000"
How many VEE units are already equipped with armoured boosters M1114 and M1151 Hummer vehicles?,"BAE Systems signed a $42 million contract with the United States Army Tank Vehicle and Arms Command to provide 5325 vehicle emergency escape window components. The order will be carried out at BAE Systems, a collaboration plant in Minneapolis, Minnesota, and Butler, Pennsylvania. The VEE window component will ensure soldiers ' rapid escape from vehicles in emergency situations, e.g., by pushing a window over a vehicle or accident. The order includes 17,000 VEE units, more than 10,000 of which are already equipped with armoured boosters M1114 and M1151 Hummer vehicles. The VEE window technology is suitable for many tactical armoured boosters, including mine-resistant anti-voltage vehicles, medium-sized tactical vehicles or naval medium tactical replacements. The module has no operational parts, requires small maintenance, low life cycle costs, simple design, soldiers need no specialized training, and can be installed in theatre by trained soldiers and naval maintenance personnel.",$42 million,"10,000"
Who was the US Department of State spokesman in December 2017?,"On 22 December 2017, US Department of State spokesman Heather Naout, in an interview with the Russian News Agency, stated that the US government had decided to provide Ukraine with defensive weapons equipment to ensure the integrity of the latter’s territory and sovereignty. In his interview, Heather Naout did not disclose specific details of the weapons supplied.",specific details of the weapons supplied,Heather Naout
What did Heather Naout say the US government wanted to ensure?,"On 22 December 2017, US Department of State spokesman Heather Naout, in an interview with the Russian News Agency, stated that the US government had decided to provide Ukraine with defensive weapons equipment to ensure the integrity of the latter’s territory and sovereignty. In his interview, Heather Naout did not disclose specific details of the weapons supplied.",specific details of the weapons supplied,the integrity of the latter’s territory and sovereignty
What did Heather Naout not disclose in his interview?,"On 22 December 2017, US Department of State spokesman Heather Naout, in an interview with the Russian News Agency, stated that the US government had decided to provide Ukraine with defensive weapons equipment to ensure the integrity of the latter’s territory and sovereignty. In his interview, Heather Naout did not disclose specific details of the weapons supplied.",specific details of the weapons supplied,specific details of the weapons supplied
When will the New Hampshire attack nuclear submarine take place?,"The New Hampshire is the latest and most advanced attack nuclear submarine of the United States Navy, which will take place at 11 a.m. on June 21, at the company’s shipyard. The Electric Power Company is a fully-owned utility subsidiary. The New Hampshire is the fifth nuclear submarine of the Virginia class, the first to be built after the Cold War in the United States, with links to land, air, sea, and space bases.",June 21,11 a.m. on June 21
What is the fifth nuclear submarine of the Virginia class?,"The New Hampshire is the latest and most advanced attack nuclear submarine of the United States Navy, which will take place at 11 a.m. on June 21, at the company’s shipyard. The Electric Power Company is a fully-owned utility subsidiary. The New Hampshire is the fifth nuclear submarine of the Virginia class, the first to be built after the Cold War in the United States, with links to land, air, sea, and space bases.",June 21,New Hampshire
What is the first nuclear submarine built in the US after the Cold War?,"The New Hampshire is the latest and most advanced attack nuclear submarine of the United States Navy, which will take place at 11 a.m. on June 21, at the company’s shipyard. The Electric Power Company is a fully-owned utility subsidiary. The New Hampshire is the fifth nuclear submarine of the Virginia class, the first to be built after the Cold War in the United States, with links to land, air, sea, and space bases.",June 21,Virginia class
Where will the New Hampshire attack nuclear submarine take place?,"The New Hampshire is the latest and most advanced attack nuclear submarine of the United States Navy, which will take place at 11 a.m. on June 21, at the company’s shipyard. The Electric Power Company is a fully-owned utility subsidiary. The New Hampshire is the fifth nuclear submarine of the Virginia class, the first to be built after the Cold War in the United States, with links to land, air, sea, and space bases.",June 21,shipyard
Who led the BMC2 subsystem?,"The development group led by Nosrop Gruman was charged by the E-10A multisensor of the United States Air Force with developing command and control systems for the field management of aircraft. The BMC2 subsystem collected, integrated, used, and distributed sensor data collected by aircraft’s radars or other sensors through the entire command and control system. They recently conducted a series of virtual flights to test progress.",virtual flights,Nosrop Gruman
What did the BMC2 subsystem collect?,"The development group led by Nosrop Gruman was charged by the E-10A multisensor of the United States Air Force with developing command and control systems for the field management of aircraft. The BMC2 subsystem collected, integrated, used, and distributed sensor data collected by aircraft’s radars or other sensors through the entire command and control system. They recently conducted a series of virtual flights to test progress.",virtual flights,sensor data
What did the BMC2 subsystem conduct to test progress?,"The development group led by Nosrop Gruman was charged by the E-10A multisensor of the United States Air Force with developing command and control systems for the field management of aircraft. The BMC2 subsystem collected, integrated, used, and distributed sensor data collected by aircraft’s radars or other sensors through the entire command and control system. They recently conducted a series of virtual flights to test progress.",virtual flights,a series of virtual flights
"When did the Korea Joint News Agency report that North Korea had assembled 3,000 tons of submarines?","On April 11, 2021, the Korea Joint News Agency reported that South Korea and the United States intelligence services assumed that North Korea had assembled 3,000 tons of submarines and was ready to go into water when the time was right. According to sources, South Korea and the United States intelligence services had assessed that North Korea had completed 3,000 tons of submarines in July 2019.","April 11, 2021","April 11, 2021"
"When did South Korea and the United States intelligence services assess that North Korea had completed 3,000 tons of submarines?","On April 11, 2021, the Korea Joint News Agency reported that South Korea and the United States intelligence services assumed that North Korea had assembled 3,000 tons of submarines and was ready to go into water when the time was right. According to sources, South Korea and the United States intelligence services had assessed that North Korea had completed 3,000 tons of submarines in July 2019.","April 11, 2021",July 2019
When did the Indian Air Force test the Astral Space Missile?,"On 17 September 2019, under the guidance of the Indian Defence Research and Development Organization, the Indian Air Force used Su-30MKI to take off from an airbase in West Bengal, in eastern India, to test the Astral Space Missile, which flew at a speed of more than 5555 km/hour, with a 15 kg high-explosive pre-detonation combat unit, using inertial navigational guidance and active radar end-guiding, and was able to target and attack enemy aircraft or missiles at near and over-sighted range.",17 September 2019,17 September 2019
Where did the Indian Air Force test the Astral Space Missile?,"On 17 September 2019, under the guidance of the Indian Defence Research and Development Organization, the Indian Air Force used Su-30MKI to take off from an airbase in West Bengal, in eastern India, to test the Astral Space Missile, which flew at a speed of more than 5555 km/hour, with a 15 kg high-explosive pre-detonation combat unit, using inertial navigational guidance and active radar end-guiding, and was able to target and attack enemy aircraft or missiles at near and over-sighted range.",17 September 2019,West Bengal
What was the Astral Space Missile's speed?,"On 17 September 2019, under the guidance of the Indian Defence Research and Development Organization, the Indian Air Force used Su-30MKI to take off from an airbase in West Bengal, in eastern India, to test the Astral Space Missile, which flew at a speed of more than 5555 km/hour, with a 15 kg high-explosive pre-detonation combat unit, using inertial navigational guidance and active radar end-guiding, and was able to target and attack enemy aircraft or missiles at near and over-sighted range.",17 September 2019,5555 km/hour
What was the Astral Space Missile's weight?,"On 17 September 2019, under the guidance of the Indian Defence Research and Development Organization, the Indian Air Force used Su-30MKI to take off from an airbase in West Bengal, in eastern India, to test the Astral Space Missile, which flew at a speed of more than 5555 km/hour, with a 15 kg high-explosive pre-detonation combat unit, using inertial navigational guidance and active radar end-guiding, and was able to target and attack enemy aircraft or missiles at near and over-sighted range.",17 September 2019,15 kg
When did the Russian Ministry of Defence announce that the Winpell Design Office had undergone a long-established R-37M aerial missile?,"On 5 July, the Russian Ministry of Defence announced that the Winpell Design Office had undergone a long-established R-37M aerial missile and was currently completing an operational validation test. The R-37M airborne missile was capable of striking targets at a distance of up to 300 km; since 2009, the Winpell Design Office has been developing the missile in different models, thus enabling the Russian fighter-force to supply the most distant air-air missiles; at present, only one of Russia’s fighter aircraft has not integrated it. R-37M was designed by the previous R-33, R-37 missiles. The Russian Ministry of Defence claimed that, similar to R-33 and R-37, R-37M had originally intended to assemble only into MiG-31 interceptors.",MiG-31 interceptors,5 July
What was the R-37M airborne missile capable of striking targets at a distance of up to 300 km?,"On 5 July, the Russian Ministry of Defence announced that the Winpell Design Office had undergone a long-established R-37M aerial missile and was currently completing an operational validation test. The R-37M airborne missile was capable of striking targets at a distance of up to 300 km; since 2009, the Winpell Design Office has been developing the missile in different models, thus enabling the Russian fighter-force to supply the most distant air-air missiles; at present, only one of Russia’s fighter aircraft has not integrated it. R-37M was designed by the previous R-33, R-37 missiles. The Russian Ministry of Defence claimed that, similar to R-33 and R-37, R-37M had originally intended to assemble only into MiG-31 interceptors.",MiG-31 interceptors,aerial missile
How many of Russia's fighter aircraft has not integrated the R-37M?,"On 5 July, the Russian Ministry of Defence announced that the Winpell Design Office had undergone a long-established R-37M aerial missile and was currently completing an operational validation test. The R-37M airborne missile was capable of striking targets at a distance of up to 300 km; since 2009, the Winpell Design Office has been developing the missile in different models, thus enabling the Russian fighter-force to supply the most distant air-air missiles; at present, only one of Russia’s fighter aircraft has not integrated it. R-37M was designed by the previous R-33, R-37 missiles. The Russian Ministry of Defence claimed that, similar to R-33 and R-37, R-37M had originally intended to assemble only into MiG-31 interceptors.",MiG-31 interceptors,one
What was the R-37M originally intended to assemble into?,"On 5 July, the Russian Ministry of Defence announced that the Winpell Design Office had undergone a long-established R-37M aerial missile and was currently completing an operational validation test. The R-37M airborne missile was capable of striking targets at a distance of up to 300 km; since 2009, the Winpell Design Office has been developing the missile in different models, thus enabling the Russian fighter-force to supply the most distant air-air missiles; at present, only one of Russia’s fighter aircraft has not integrated it. R-37M was designed by the previous R-33, R-37 missiles. The Russian Ministry of Defence claimed that, similar to R-33 and R-37, R-37M had originally intended to assemble only into MiG-31 interceptors.",MiG-31 interceptors,MiG-31 interceptors
What is the purpose of AMDR?,"The new generation of radar systems is planned to be used for future naval operations on the surface, and AMDR is designed to be a scalable, multifunctional radar system. AMDR consists of an S-band radar, an X-band radar, and a radar component controller designed to provide a state-of-the-art capability to search, track, and counter ballistic missiles in highly complex environments. Under this two-year contract, Nog will bring to technical maturity and validate several of the key technologies required for AMR S-band radar and radar module control, as demonstrated by Steven McCow, Deputy Head of Advanced Concept Operations of the Department of Electronic Systems.",Deputy Head of Advanced Concept Operations,"search, track, and counter ballistic missiles in highly complex environments"
